,TOTAL_BORN,CAT,Resta_Estat,Estranger,DTE,BARRI,NOM_BARRI,CAT_pct,Resta_Estat_pct,Estranger_pct,NascutsRestaEstat_Votants_ratio,barri_size,Població,Index_RFD,Index_intervals,TOTAL_EDUC,Educ_NO,Educ_primar,Educ_batx_elem,Educ_batx_sup,Educ_univ,No consta,Educ_univ_pct,Educ_primar_pct,Total Aturats,Fins a 6 mesos,De 6 a 12 mesos,Més de 12 mesos,Tot_Atur_pct,Tot_LT_Atur_pct,Electors,Votants,ECP,ERC,CDC,PSC,Cs,PP,Altres,Blancs,Nuls,ECP_pct,ECP_pct_Electors,ERC_pct,ERC_pct_Electors,CDC_pct,CDC_pct_Electors,Cs_pct,Cs_pct_Electors,PSC_pct,PSC_pct_Electors,PP_pct,PP_pct_Electors,Indep,Indep_pct,Indep_pct_Electors,DretD,DretD_pct,DretD_pct_Electors,Union,Union_pct,Union_pct_Electors,Indep_pct_delta_20D_27S,Indep_pct_Electors_delta_20D_27S,Union_pct_delta_20D_27S,Union_pct_Electors_delta_20D_27S,DretD_pct_delta_20D_27S,DretD_pct_Electors_delta_20D_27S,ECP_pct_delta_20D_27S,ECP_pct_Electors_delta_20D_27S,Cs_pct_delta_20D_27S,Cs_pct_Electors_delta_20D_27S,PSC_pct_delta_20D_27S,PSC_pct_Electors_delta_20D_27S,PP_pct_delta_20D_27S,PP_pct_Electors_delta_20D_27S,JxSi_pct_delta_20D_27S,JxSi_pct_Electors_delta_20D_27S,CUP_pct_27S,CUP_pct_Electors_27S,Participacio_pct,Participacio_pct_27S,delta_Participacio_20D_27S,Effective_Educ_univ_pct
0,43293.0,16300.0,5312.0,21681.0,1,1, el Raval,37.65,12.27,50.08,24.578937627244123,5.0,48471.0,65.9,1.0,41223.0,1323.0,14963.0,8698.0,7209.0,9018.0,12.0,21.88,36.3,3977.0,1946.0,551.0,1480.0,9.65,3.5900000000000003,20697,11623,3999,1464,912,2142,1177,1396,395,60,78,34.41,19.32,12.6,7.07,7.85,4.41,10.13,5.69,18.43,10.35,12.01,6.74,2376,20.45,11.48,6375,54.86,30.8,4715,40.57,22.78,-20.970000000000002,-12.370000000000001,-0.11999999999999744,-0.6499999999999986,0.29999999999999716,-0.620000000000001,21.269999999999996,11.75,-4.739999999999998,-2.87,3.4499999999999993,1.7199999999999989,1.17,0.5,-8.120000000000001,-4.969999999999999,12.85,7.4,56.157897279799,57.59414427429452,-1.4362469944955194,43.57
1,17570.0,6880.0,3756.0,6934.0,1,2, el Barri Gòtic,39.16,21.38,39.46,35.31402783001128,3.0,15911.0,98.5,2.0,13913.0,392.0,2737.0,2300.0,3228.0,5255.0,1.0,37.769999999999996,19.67,1051.0,512.0,132.0,407.0,7.55,2.93,7863,4830,1796,787,593,549,430,423,197,21,34,37.18,22.84,16.29,10.01,12.28,7.54,8.9,5.47,11.37,6.98,8.76,5.38,1380,28.57,17.55,3176,65.75,40.39,1402,29.03,17.83,-22.92,-14.91,-1.8399999999999999,-1.6400000000000006,0.5499999999999972,-0.7100000000000009,23.47,14.2,-4.1,-2.7299999999999995,0.5299999999999994,0.14000000000000057,1.7299999999999995,0.9500000000000002,-5.740000000000002,-4.079999999999998,17.18,10.83,61.426936283861124,63.042647994907696,-1.615711711046572,66.83
2,17950.0,9770.0,2415.0,5764.0,1,3, la Barceloneta,54.43,13.45,32.11,19.819450143619203,3.0,15181.0,84.5,2.0,13634.0,797.0,3568.0,3170.0,2697.0,3399.0,3.0,24.93,26.169999999999998,1223.0,566.0,162.0,495.0,8.97,3.63,9091,5442,1836,874,472,906,533,543,212,27,39,33.74,20.2,16.06,9.61,8.67,5.19,9.79,5.86,16.65,9.97,9.98,5.97,1346,24.729999999999997,14.8,3182,58.47,35.0,1982,36.42,21.8,-25.17,-16.900000000000002,0.740000000000002,-0.8599999999999994,-1.3100000000000023,-2.969999999999999,23.86,13.93,-3.870000000000001,-2.8199999999999994,2.759999999999998,1.1500000000000004,1.8499999999999996,0.8099999999999996,-12.420000000000002,-8.8,12.75,8.1,59.86140138598614,63.52450010986597,-3.663098723879827,37.39
3,22347.0,10482.0,3757.0,8108.0,1,4," Sant Pere, Santa Caterina i la Ribera",46.91,16.81,36.28,26.385279865159074,4.0,22674.0,92.5,2.0,19995.0,660.0,4245.0,3271.0,4330.0,7482.0,7.0,37.419999999999995,21.23,1691.0,783.0,226.0,682.0,8.459999999999999,3.4099999999999997,11844,7534,2684,1097,812,1020,721,804,318,33,45,35.63,22.66,14.56,9.26,10.78,6.86,9.57,6.09,13.54,8.61,10.67,6.79,1909,25.34,16.12,4593,60.97,38.78,2545,33.78,21.49,-21.709999999999997,-14.499999999999996,-0.4399999999999977,-0.7899999999999991,-0.10999999999999943,-0.9699999999999989,21.6,13.53,-4.8100000000000005,-3.2699999999999996,1.6799999999999997,0.8899999999999997,2.6899999999999995,1.5899999999999999,-7.02,-4.939999999999998,14.69,9.56,63.61026680175616,65.08069939475453,-1.470432592998371,63.17
4,30679.0,19033.0,5497.0,6149.0,2,5, el Fort Pienc,62.04,17.92,20.04,22.409294741133305,5.0,31785.0,104.5,3.0,27716.0,861.0,4257.0,5031.0,7463.0,10099.0,5.0,36.44,15.36,1479.0,616.0,216.0,647.0,5.34,2.33,21884,16208,4053,2838,2857,1677,1991,1888,704,124,76,25.01,18.52,17.51,12.97,17.63,13.06,12.28,9.1,10.35,7.66,11.65,8.63,5695,35.14,26.03,9748,60.150000000000006,44.55,5556,34.28,25.39,-17.729999999999997,-15.96,0.759999999999998,-1.2399999999999984,-1.8299999999999912,-4.670000000000002,15.900000000000002,11.29,-3.790000000000001,-3.66,1.1999999999999993,0.39000000000000057,3.3499999999999996,2.030000000000001,-6.439999999999998,-6.990000000000002,11.29,8.97,74.0632425516359,79.42815383210012,-5.364911280464227,46.150000000000006
5,52288.0,34131.0,9180.0,8977.0,2,6, la Sagrada Família,65.28,17.56,17.17,21.19553923945418,5.0,51562.0,92.4,2.0,45630.0,1664.0,7559.0,8831.0,11999.0,15568.0,9.0,34.12,16.57,2479.0,1080.0,360.0,1039.0,5.43,2.2800000000000002,36950,26976,6894,5133,4842,2998,2995,2816,1015,162,121,25.56,18.66,19.03,13.89,17.95,13.1,11.1,8.11,11.11,8.11,10.44,7.62,9975,36.980000000000004,26.990000000000002,16869,62.540000000000006,45.650000000000006,8809,32.65,23.84,-18.349999999999994,-16.369999999999997,1.009999999999998,-0.9600000000000009,-1.3799999999999955,-4.439999999999998,16.97,11.93,-3.4700000000000006,-3.3100000000000005,1.5999999999999996,0.6599999999999993,2.88,1.6900000000000004,-7.799999999999997,-8.11,10.55,8.26,73.00676589986467,78.36710369487486,-5.360337795010182,42.13
6,41544.0,26670.0,6171.0,8703.0,2,7, la Dreta de l'Eixample,64.2,14.85,20.95,18.790536219968942,5.0,43749.0,165.3,4.0,37794.0,894.0,3683.0,4822.0,9783.0,18609.0,3.0,49.24,9.74,1669.0,743.0,284.0,642.0,4.42,1.7000000000000002,29699,22216,4791,3712,5285,1658,2767,2689,1045,164,105,21.57,16.13,16.71,12.5,23.79,17.8,12.45,9.32,7.46,5.58,12.1,9.05,8997,40.5,30.3,13788,62.07,46.43,7114,32.01,23.950000000000003,-16.330000000000005,-15.55,1.7199999999999989,-0.4799999999999969,-1.8600000000000065,-5.140000000000001,14.47,10.41,-2.34,-2.6099999999999994,0.05999999999999961,-0.3899999999999997,4.0,2.5200000000000005,-5.090000000000003,-6.48,11.24,9.07,74.80386545001515,80.67175983576213,-5.867894385746979,62.660000000000004
7,39387.0,26120.0,5612.0,7655.0,2,8, l'Antiga Esquerra de l'Eixample,66.32,14.25,19.44,17.685617042732886,5.0,41975.0,127.8,3.0,36823.0,960.0,4020.0,5250.0,9884.0,16701.0,8.0,45.35,10.92,1804.0,832.0,294.0,678.0,4.9,1.8399999999999999,29140,21430,4595,3502,4765,1816,2826,2665,1002,157,102,21.44,15.77,16.34,12.02,22.24,16.35,13.19,9.7,8.47,6.23,12.44,9.15,8267,38.58,28.37,12862,60.019999999999996,44.14,7307,34.1,25.080000000000002,-16.240000000000002,-14.999999999999996,1.6700000000000017,-0.5799999999999983,-1.9000000000000057,-4.839999999999996,14.340000000000002,10.16,-2.610000000000001,-2.8000000000000007,0.3200000000000003,-0.21999999999999975,3.959999999999999,2.4400000000000004,-6.670000000000002,-7.429999999999996,9.57,7.57,73.54152367879203,79.11123302701961,-5.569709348227576,57.31
8,61449.0,38215.0,10452.0,12783.0,2,9, la Nova Esquerra de l'Eixample,62.19,17.01,20.8,21.47656522900528,5.0,57863.0,109.1,3.0,51148.0,1397.0,7154.0,8626.0,13946.0,20005.0,20.0,39.11,13.99,2684.0,1221.0,406.0,1057.0,5.25,2.07,42005,31035,6944,5329,6362,2970,3940,3772,1380,196,142,22.37,16.53,17.17,12.69,20.5,15.15,12.7,9.38,9.57,7.07,12.15,8.98,11691,37.67,27.84,18635,60.040000000000006,44.370000000000005,10682,34.42,25.43,-16.709999999999994,-15.389999999999997,1.5499999999999972,-0.6999999999999993,-2.1499999999999915,-5.069999999999993,14.560000000000002,10.32,-2.950000000000001,-3.0599999999999987,0.8200000000000003,0.1200000000000001,3.6799999999999997,2.24,-7.259999999999998,-7.879999999999999,9.45,7.51,73.88406142125937,79.50926961612605,-5.625208194866673,47.63
9,37742.0,23719.0,6282.0,7740.0,2,10, Sant Antoni,62.85,16.64,20.51,20.939302023265892,5.0,38369.0,97.8,2.0,33981.0,1227.0,6155.0,6502.0,8729.0,11352.0,16.0,33.410000000000004,18.11,1927.0,896.0,299.0,732.0,5.67,2.15,26727,19168,5023,3666,3563,2045,1892,1957,833,96,93,26.21,18.79,19.13,13.72,18.59,13.33,9.87,7.08,10.67,7.65,10.21,7.32,7229,37.72,27.05,12252,63.93,45.84,5894,30.75,22.05,-18.689999999999998,-16.430000000000003,0.9400000000000013,-0.9299999999999997,-1.6999999999999957,-4.75,16.990000000000002,11.68,-2.92,-2.7799999999999994,1.33,0.4500000000000002,2.530000000000001,1.4000000000000004,-6.740000000000002,-7.220000000000002,11.95,9.21,71.71773861638044,77.07335329341318,-5.355614677032733,42.47
10,37549.0,19755.0,6501.0,11293.0,3,11, el Poble Sec - AEI Parc Montjuïc,52.61,17.31,30.08,24.760054844606945,5.0,40674.0,66.3,1.0,35243.0,1471.0,9895.0,8009.0,7589.0,8273.0,6.0,23.47,28.08,2802.0,1328.0,407.0,1067.0,7.95,3.0300000000000002,24405,15663,5427,2639,1530,2252,1465,1629,533,91,97,34.65,22.24,16.85,10.81,9.77,6.27,9.35,6.0,14.38,9.23,10.4,6.67,4169,26.62,17.08,9596,61.269999999999996,39.31999999999999,5346,34.13,21.9,-22.44,-16.300000000000004,0.19000000000000483,-1.2000000000000028,-0.46000000000000796,-2.680000000000007,21.979999999999997,13.62,-4.210000000000001,-3.2300000000000004,2.4000000000000004,1.0700000000000003,2.0,0.96,-9.27,-7.340000000000003,13.17,8.96,64.17947141979103,68.04970772186567,-3.8702363020746446,33.900000000000006
11,792.0,,,,3,12, la Marina del Prat Vermell - AEI Zona Franca,,,,,1.0,1151.0,39.4,1.0,993.0,77.0,458.0,308.0,108.0,42.0,0.0,4.2299999999999995,46.12,151.0,68.0,22.0,61.0,15.21,6.140000000000001,869,451,159,18,20,113,67,52,21,0,1,35.25,18.3,3.99,2.07,4.43,2.3,14.86,7.71,25.06,13.0,11.53,5.98,38,8.42,4.369999999999999,197,43.67,22.67,232,51.45,26.69,-13.76,-7.770000000000001,-8.170000000000002,-5.949999999999999,7.68,2.9700000000000024,21.439999999999998,10.740000000000002,-13.8,-7.9799999999999995,2.049999999999997,0.40000000000000036,3.579999999999999,1.6300000000000008,-10.409999999999998,-5.940000000000001,3.35,1.83,51.89873417721519,54.75372279495991,-2.8549886177447235,4.83
12,30667.0,17652.0,7433.0,5583.0,3,13, la Marina de Port,57.56,24.24,18.21,29.6312537372932,5.0,30286.0,72.0,1.0,25807.0,1465.0,8101.0,6879.0,6001.0,3356.0,5.0,13.0,31.39,2097.0,900.0,285.0,912.0,8.129999999999999,3.53,22023,15362,5083,1396,850,3092,2224,2100,475,75,67,33.09,23.08,9.09,6.34,5.53,3.86,14.48,10.1,20.13,14.04,13.67,9.54,2246,14.620000000000001,10.2,7329,47.71000000000001,33.28,7416,48.28,33.68,-16.029999999999998,-12.080000000000002,-2.3599999999999994,-3.1300000000000026,2.190000000000012,0.18999999999999773,18.220000000000006,12.269999999999998,-8.5,-6.6,2.8099999999999987,1.4499999999999993,3.33,2.0199999999999996,-9.11,-7.050000000000001,6.92,5.03,69.75434772737593,72.68139661756683,-2.9270488901909033,15.24
13,10229.0,5916.0,2245.0,2069.0,3,14, la Font de la Guatlla,57.84,21.95,20.23,27.508883715230976,3.0,10406.0,77.6,2.0,9178.0,406.0,1915.0,2009.0,2324.0,2518.0,6.0,27.439999999999998,20.87,706.0,332.0,102.0,272.0,7.6899999999999995,2.96,7343,5177,1599,814,581,711,665,597,143,23,44,30.89,21.78,15.72,11.09,11.22,7.91,12.85,9.06,13.73,9.68,11.53,8.13,1395,26.94,19.0,2994,57.83,40.78,1973,38.11,26.87,-19.419999999999998,-15.57,-0.6900000000000048,-2.0599999999999987,0.39000000000000057,-2.0600000000000023,19.810000000000002,13.510000000000002,-5.320000000000002,-4.49,2.01,0.9399999999999995,2.619999999999999,1.490000000000001,-7.989999999999998,-7.050000000000001,11.43,8.52,70.50251940623723,74.57788671023965,-4.075367304002427,34.29
14,15080.0,9656.0,2917.0,2506.0,3,15, Hostafrancs,64.03,19.34,16.62,23.20050902728068,3.0,15919.0,76.8,2.0,13995.0,530.0,3270.0,3065.0,3345.0,3779.0,6.0,27.0,23.369999999999997,857.0,379.0,121.0,357.0,6.12,2.55,10965,7648,2210,1547,1045,924,775,738,322,49,38,28.9,20.16,20.23,14.11,13.66,9.53,10.13,7.07,12.08,8.43,9.65,6.73,2592,33.89,23.64,4802,62.79,43.8,2437,31.86,22.23,-19.86,-16.459999999999994,0.25,-1.3500000000000014,-1.2700000000000031,-3.989999999999995,18.589999999999996,12.469999999999999,-4.239999999999998,-3.6500000000000004,2.4299999999999997,1.2299999999999995,2.0600000000000005,1.0700000000000003,-7.409999999999997,-7.169999999999998,12.45,9.29,69.74920200638395,74.6027397260274,-4.853537719643441,34.46
15,19025.0,12092.0,3849.0,3084.0,3,16, la Bordeta,63.56,20.23,16.21,24.145285741170568,3.0,18451.0,76.0,2.0,16172.0,761.0,3812.0,3936.0,4287.0,3361.0,15.0,20.78,23.57,1005.0,445.0,141.0,419.0,6.21,2.59,13959,10166,2897,1955,1230,1516,1071,1071,334,55,37,28.5,20.75,19.23,14.01,12.1,8.81,10.54,7.67,14.91,10.86,10.54,7.67,3185,31.33,22.82,6082,59.83,43.57,3658,35.989999999999995,26.2,-19.85,-16.86,1.3099999999999952,-0.6699999999999982,-1.6500000000000057,-4.089999999999996,18.2,12.77,-4.16,-3.7200000000000006,2.84,1.5099999999999998,2.629999999999999,1.54,-8.219999999999999,-7.84,11.63,9.02,72.82756644458772,77.52270614317386,-4.695139698586146,24.08
16,24288.0,14532.0,5141.0,4615.0,3,17, Sants - Badal,59.83,21.17,19.0,26.13226249173995,4.0,24245.0,79.6,2.0,21297.0,1044.0,5343.0,4896.0,5189.0,4814.0,11.0,22.6,25.09,1127.0,478.0,170.0,479.0,5.29,2.25,17698,12595,3404,2116,1552,1858,1550,1569,432,54,60,27.03,19.23,16.8,11.96,12.32,8.77,12.31,8.76,14.75,10.5,12.46,8.87,3668,29.12,20.73,7072,56.150000000000006,39.96,4977,39.52,28.13,-18.209999999999997,-15.41,0.5200000000000031,-1.6600000000000001,-0.6899999999999906,-3.4399999999999977,17.520000000000003,11.97,-4.99,-4.450000000000001,2.0700000000000003,0.8100000000000005,3.4400000000000013,1.9799999999999995,-8.109999999999996,-7.699999999999999,10.1,7.71,71.16623347270878,76.36343064041638,-5.1971971677076,27.200000000000003
17,44686.0,28204.0,7929.0,8552.0,3,18, Sants,63.12,17.74,19.14,21.943929372042177,5.0,41102.0,85.8,2.0,35988.0,1483.0,7361.0,7397.0,9072.0,10667.0,8.0,29.64,20.45,2093.0,912.0,304.0,877.0,5.82,2.44,29628,21527,5882,4556,3511,2459,2135,1983,779,116,106,27.32,19.85,21.16,15.38,16.31,11.85,9.92,7.21,11.42,8.3,9.21,6.69,8067,37.47,27.23,13949,64.78999999999999,47.08,6577,30.550000000000004,22.200000000000003,-19.650000000000006,-17.119999999999994,1.1100000000000065,-0.6599999999999966,-1.5000000000000142,-4.3899999999999935,18.15,12.73,-3.1799999999999997,-2.96,1.8599999999999994,0.870000000000001,2.4300000000000006,1.4300000000000006,-6.700000000000003,-7.069999999999997,12.95,10.05,72.6576211691643,77.65227095945077,-4.9946497902864735,36.0
18,46847.0,32792.0,8567.0,5489.0,4,19, les Corts,70.0,18.29,11.72,20.713750332454847,5.0,46205.0,125.4,3.0,40266.0,1225.0,5210.0,6411.0,11196.0,16210.0,14.0,40.26,12.94,2147.0,939.0,317.0,891.0,5.33,2.21,35458,27241,4776,4423,6066,2539,4117,3759,1225,207,129,17.53,13.47,16.24,12.47,22.27,17.11,15.11,11.61,9.32,7.16,13.8,10.6,10489,38.51,29.58,15265,56.04,43.05,10415,38.230000000000004,29.37,-14.600000000000001,-14.64,2.6600000000000037,-0.24999999999999645,-2.8500000000000014,-5.980000000000004,11.75,8.66,-2.710000000000001,-3.2300000000000004,0.9000000000000004,0.15000000000000036,4.470000000000001,2.83,-6.530000000000001,-7.920000000000002,8.07,6.72,76.826104123188,83.26379883858601,-6.43769471539801,45.72
19,23100.0,15056.0,5001.0,3043.0,4,20, la Maternitat i Sant Ramon,65.18,21.65,13.17,24.933938275913647,4.0,23735.0,112.6,3.0,20845.0,802.0,3252.0,3625.0,5629.0,7526.0,11.0,36.1,15.6,1114.0,473.0,168.0,473.0,5.34,2.27,18331,14074,2830,2050,2439,1657,2186,2244,531,77,60,20.11,15.44,14.57,11.18,17.33,13.31,15.53,11.93,11.77,9.04,15.94,12.24,4489,31.9,24.490000000000002,7319,52.01,39.93,6087,43.239999999999995,33.21,-15.220000000000006,-14.129999999999995,2.269999999999996,-0.36999999999999744,-1.95000000000001,-4.299999999999997,13.27,9.829999999999998,-4.520000000000001,-4.5,1.7199999999999989,0.7999999999999989,5.07,3.33,-7.950000000000003,-8.169999999999995,7.27,5.96,76.77704435109924,81.95738651844586,-5.180342167346623,41.06
20,10745.0,7242.0,1422.0,2080.0,4,21, Pedralbes,67.4,13.23,19.36,16.412742382271468,3.0,11670.0,251.7,4.0,9799.0,170.0,737.0,1151.0,2768.0,4970.0,3.0,50.72,7.5200000000000005,259.0,124.0,48.0,87.0,2.64,0.89,8242,6395,432,376,1484,249,1472,1906,410,46,20,6.76,5.24,5.88,4.56,23.21,18.01,23.02,17.86,3.89,3.02,29.8,23.13,1860,29.09,22.57,2292,35.85,27.810000000000002,3627,56.71,44.01,-10.239999999999998,-10.18,7.219999999999999,2.8000000000000043,-5.199999999999996,-6.369999999999997,5.04,3.8100000000000005,-5.440000000000001,-5.84,-0.11999999999999966,-0.31999999999999984,12.780000000000001,8.959999999999999,-7.599999999999998,-7.98,2.64,2.2,77.59039068187333,83.26248026235879,-5.672089580485462,60.3
21,2891.0,1985.0,232.0,674.0,5,22," Vallvidrera, el Tibidabo i les Planes",68.66,8.02,23.31,10.464591790708164,1.0,4615.0,162.8,4.0,3675.0,132.0,410.0,570.0,994.0,1567.0,2.0,42.64,11.16,104.0,46.0,18.0,40.0,2.83,1.09,3081,2234,565,482,481,154,256,166,110,10,10,25.29,18.34,21.58,15.64,21.53,15.61,11.46,8.31,6.89,5.0,7.43,5.39,963,43.11,31.25,1528,68.4,49.59,576,25.78,18.7,-20.510000000000005,-20.18,1.240000000000002,-1.1400000000000006,-2.2099999999999937,-7.489999999999995,18.299999999999997,12.69,-0.8299999999999983,-1.629999999999999,-0.41999999999999993,-0.9100000000000001,2.4899999999999993,1.3999999999999995,-6.130000000000003,-8.560000000000002,14.38,11.62,72.50892567348264,80.84415584415584,-8.3352301706732,50.86000000000001
22,24819.0,18480.0,2888.0,3451.0,5,23, Sarrià,74.46,11.64,13.9,13.515537251965556,4.0,24691.0,195.2,4.0,19899.0,526.0,1755.0,2374.0,5256.0,9985.0,3.0,50.18,8.82,554.0,257.0,102.0,195.0,2.78,0.98,17163,13228,1690,1711,3587,725,2220,2192,950,102,51,12.78,9.85,12.93,9.97,27.12,20.9,16.78,12.93,5.48,4.22,16.57,12.77,5298,40.05,30.869999999999997,6988,52.83,40.72,5137,38.83,29.919999999999998,-14.020000000000003,-14.229999999999997,4.829999999999998,1.5700000000000003,-4.940000000000005,-7.469999999999999,9.079999999999998,6.76,-2.169999999999998,-2.870000000000001,0.14000000000000057,-0.23000000000000043,6.859999999999999,4.67,-7.450000000000003,-8.75,6.57,5.48,77.07277282526366,83.4050721265705,-6.332299301306847,58.18
