,Electors,Votants,ECP,ERC,CDC,PSC,Cs,PP,Altres,Blancs,Nuls,DTE,BARRI,NOM_BARRI,ECP_pct,ECP_pct_Electors,ERC_pct,ERC_pct_Electors,CDC_pct,CDC_pct_Electors,Cs_pct,Cs_pct_Electors,PSC_pct,PSC_pct_Electors,PP_pct,PP_pct_Electors,Indep,Indep_pct,Indep_pct_Electors,DretD,DretD_pct,DretD_pct_Electors,Union,Union_pct,Union_pct_Electors,Indep_pct_delta_20D_27S,Indep_pct_Electors_delta_20D_27S,Union_pct_delta_20D_27S,Union_pct_Electors_delta_20D_27S,ECP_pct_delta_20D_27S,ECP_pct_Electors_delta_20D_27S,Cs_pct_delta_20D_27S,Cs_pct_Electors_delta_20D_27S,PSC_pct_delta_20D_27S,PSC_pct_Electors_delta_20D_27S,PP_pct_delta_20D_27S,PP_pct_Electors_delta_20D_27S,JxSi_pct_delta_20D_27S,DretD_pct_delta_20D_27S,CUP_pct_27S,CUP_pct_Electors_27S,Participacio_pct,Participacio_pct_27S,delta_Participacio_20D_27S
35,7387,5613,1498,1034,940,629,663,585,198,37,29,7,36, la Font d'en Fargues,26.69,20.28,18.42,14.0,16.75,12.73,11.81,8.98,11.21,8.51,10.42,7.92,1974,35.17,26.73,3472,61.86,47.010000000000005,1877,33.44,25.409999999999997,-17.839999999999996,-17.439999999999994,0.8599999999999994,-1.740000000000002,16.22,11.55,-3.6099999999999994,-3.869999999999999,1.4200000000000017,0.34999999999999964,3.05,1.7800000000000002,-6.1299999999999955,-1.6199999999999992,11.71,9.76,75.98483822932178,83.31752269955278,-7.332684470231001
36,23362,16008,4930,1173,525,3916,2486,2278,525,87,88,7,37, el Carmel,30.8,21.1,7.33,5.02,3.28,2.25,15.53,10.64,24.46,16.76,14.23,9.75,1698,10.61,7.27,6628,41.41,28.37,8680,54.22,37.150000000000006,-14.36,-10.73,-3.3700000000000045,-4.36999999999999,17.68,11.64,-10.250000000000002,-7.949999999999999,3.789999999999999,1.8600000000000012,3.09,1.7200000000000006,-7.460000000000001,3.3199999999999985,6.9,4.97,68.5215306908655,72.1078536272202,-3.5863229363546907
37,8490,5878,1968,478,242,1311,831,799,197,19,33,7,38, la Teixonera,33.48,23.18,8.13,5.63,4.12,2.85,14.14,9.79,22.3,15.44,13.59,9.41,720,12.25,8.48,2688,45.73,31.66,2941,50.03,34.64,-16.38,-12.459999999999997,-3.3799999999999955,-4.43,19.049999999999997,12.62,-8.54,-6.800000000000001,2.16,0.7099999999999991,3.0,1.6600000000000001,-8.29,2.669999999999998,8.09,5.91,69.2343934040047,73.14520870076426,-3.9108152967595515
38,5153,3551,1128,380,294,659,434,472,143,24,17,7,39, Sant Genís dels Agudells,31.77,21.89,10.7,7.37,8.28,5.71,12.22,8.42,18.56,12.79,13.29,9.16,674,18.979999999999997,13.08,1802,50.75,34.97,1565,44.06999999999999,30.369999999999997,-17.67,-13.459999999999999,-1.3600000000000065,-2.520000000000003,18.54,12.32,-5.959999999999999,-4.74,2.8199999999999985,1.3899999999999988,1.7799999999999994,0.8300000000000001,-8.860000000000003,0.870000000000001,8.81,6.38,68.9113137977877,72.38372093023256,-3.4724071324448573
39,3928,2585,737,391,309,345,286,396,91,15,15,7,40, Montbau,28.51,18.76,15.13,9.95,11.95,7.87,11.06,7.28,13.35,8.78,15.32,10.08,700,27.08,17.82,1437,55.59,36.58,1027,39.730000000000004,26.14,-17.61,-14.670000000000002,1.0600000000000023,-1.9799999999999969,17.32,10.620000000000001,-4.639999999999999,-4.14,1.5999999999999996,0.2400000000000002,4.1,1.92,-6.910000000000004,-0.2899999999999938,10.7,7.78,65.80957230142566,72.71802695143657,-6.90845465001091
40,4416,3436,930,456,327,488,512,570,118,27,8,7,41, la Vall d'Hebron,27.07,21.06,13.27,10.33,9.52,7.4,14.9,11.59,14.2,11.05,16.59,12.91,783,22.79,17.73,1713,49.86,38.79,1570,45.69,35.55,-13.660000000000004,-12.32,-1.8700000000000045,-3.6700000000000017,15.84,11.799999999999999,-7.58,-6.949999999999999,2.0599999999999987,1.040000000000001,3.6500000000000004,2.24,-5.420000000000002,2.179999999999996,8.24,6.79,77.80797101449275,82.44414044687642,-4.636169432383667
41,409,271,118,45,25,33,23,19,7,1,0,7,42, la Clota,43.54,28.85,16.61,11.0,9.23,6.11,8.49,5.62,12.18,8.07,7.01,4.65,70,25.84,17.11,188,69.38,45.96,75,27.68,18.34,-19.080000000000002,-17.229999999999997,-4.789999999999999,-6.469999999999999,26.16,15.570000000000002,-4.299999999999999,-4.1499999999999995,-2.25,-2.959999999999999,1.7599999999999998,0.6400000000000006,-5.640000000000001,7.079999999999995,13.44,10.28,66.25916870415648,76.44110275689223,-10.181934052735755
42,20470,14942,4301,2408,1735,2299,1628,1816,535,110,110,7,43, Horta,28.78,21.01,16.12,11.76,11.61,8.48,10.9,7.95,15.39,11.23,12.15,8.87,4143,27.73,20.240000000000002,8444,56.510000000000005,41.25,5743,38.44,28.05,-18.389999999999997,-15.689999999999998,0.14000000000000057,-1.7899999999999956,17.78,12.440000000000001,-5.589999999999998,-4.8999999999999995,2.6799999999999997,1.33,3.0500000000000007,1.7799999999999994,-7.069999999999997,-0.6099999999999923,11.32,8.82,72.99462628236444,77.91192140378318,-4.917295121418746
43,19285,14273,4010,1897,1391,2349,1915,2044,500,82,85,8,44, Vilapicina i la Torre Llobeta,28.1,20.79,13.29,9.84,9.75,7.21,13.42,9.93,16.46,12.18,14.32,10.6,3288,23.04,17.05,7298,51.14,37.84,6308,44.2,32.71,-17.1,-14.2,-0.8699999999999974,-2.3800000000000026,17.69,12.68,-6.610000000000001,-5.66,1.950000000000001,0.879999999999999,3.790000000000001,2.4000000000000004,-7.609999999999999,0.5899999999999999,9.49,7.39,74.01088929219601,77.86524418664871,-3.8543548944526975
44,18228,12960,3821,1302,875,2565,1801,2048,431,62,55,8,45, Porta,29.48,20.96,10.05,7.14,6.75,4.8,13.9,9.88,19.79,14.07,15.8,11.24,2177,16.8,11.94,5998,46.28,32.9,6414,49.49,35.19,-15.749999999999996,-12.230000000000002,-1.779999999999994,-2.8800000000000026,17.35,11.96,-7.889999999999999,-6.299999999999999,2.41,1.1600000000000001,3.700000000000001,2.26,-7.75,1.6000000000000032,8.0,5.94,71.09940750493746,74.26292629262926,-3.1635187876917996
45,10502,6739,2077,669,402,1434,887,949,224,61,36,8,46, el Turó de la Peira,30.82,19.78,9.93,6.37,5.97,3.83,13.16,8.45,21.28,13.65,14.08,9.04,1071,15.899999999999999,10.2,3148,46.72,29.98,3270,48.52,31.14,-16.54,-11.66,-1.8699999999999974,-2.8100000000000023,17.91,11.080000000000002,-7.149999999999999,-5.23,3.030000000000001,1.3499999999999996,2.25,1.0699999999999994,-8.490000000000002,1.370000000000001,8.05,5.42,64.1687297657589,67.38675295013323,-3.2180231843743314
46,1756,1027,358,120,56,222,129,89,36,8,9,8,47, Can Peguera,34.86,20.39,11.68,6.83,5.45,3.19,12.56,7.35,21.62,12.64,8.67,5.07,176,17.13,10.02,534,51.989999999999995,30.41,440,42.85,25.060000000000002,-16.630000000000006,-11.05,-2.490000000000002,-3.25,18.84,10.39,-7.35,-5.08,2.9800000000000004,1.0,1.88,0.8300000000000001,-6.130000000000003,2.20999999999999,10.5,6.55,58.48519362186788,62.42937853107344,-3.9441849092055605
47,11970,8977,2680,880,594,1622,1352,1468,293,53,35,8,48, la Guineueta,29.85,22.39,9.8,7.35,6.62,4.96,15.06,11.29,18.07,13.55,16.35,12.26,1474,16.42,12.309999999999999,4154,46.27,34.7,4442,49.480000000000004,37.099999999999994,-15.669999999999995,-12.810000000000002,-1.3999999999999986,-2.710000000000001,16.950000000000003,12.290000000000001,-6.83,-5.84,2.2200000000000006,1.1500000000000004,3.210000000000001,1.9800000000000004,-8.069999999999997,1.2800000000000065,7.6,5.95,74.99582289055974,78.2743067156699,-3.2784838251101576
48,5725,4359,1547,289,137,909,721,605,102,22,27,8,49, Canyelles,35.49,27.02,6.63,5.05,3.14,2.39,16.54,12.59,20.85,15.88,13.88,10.57,426,9.77,7.4399999999999995,1973,45.260000000000005,34.46,2235,51.27,39.04,-14.32,-11.47,-5.710000000000001,-5.690000000000005,20.370000000000005,15.15,-8.7,-7.23,0.6500000000000021,0.030000000000001137,2.3400000000000016,1.5099999999999998,-7.870000000000001,6.050000000000006,6.45,5.06,76.13973799126637,78.50532565042779,-2.36558765916142
49,10372,6678,2283,329,134,1808,1000,881,185,24,34,8,50, les Roquetes,34.19,22.01,4.93,3.17,2.01,1.29,14.97,9.64,27.07,17.43,13.19,8.49,463,6.9399999999999995,4.46,2746,41.129999999999995,26.470000000000002,3689,55.230000000000004,35.56,-12.74,-8.649999999999999,-5.539999999999992,-4.919999999999995,18.79,11.750000000000002,-11.299999999999999,-7.859999999999999,4.16,2.17,1.5999999999999996,0.7700000000000005,-7.120000000000001,6.049999999999995,5.62,3.74,64.38488237562669,66.60877954655089,-2.2238971709242037
50,8645,5759,1882,351,184,1319,860,903,199,27,34,8,51, Verdun,32.68,21.77,6.09,4.06,3.19,2.13,14.93,9.95,22.9,15.26,15.68,10.45,535,9.28,6.1899999999999995,2417,41.96,27.96,3082,53.51,35.66,-14.44,-10.22,-2.8300000000000054,-3.3200000000000074,17.14,11.02,-9.09,-6.670000000000002,3.1499999999999986,1.5999999999999996,3.1099999999999994,1.75,-7.880000000000001,2.700000000000003,6.56,4.54,66.61654135338345,69.1961191961192,-2.5795778427357448
51,19470,13909,4527,967,516,3088,2036,2199,404,83,89,8,52, la Prosperitat,32.55,23.25,6.95,4.97,3.71,2.65,14.64,10.46,22.2,15.86,15.81,11.29,1483,10.66,7.619999999999999,6010,43.209999999999994,30.869999999999997,7323,52.650000000000006,37.61,-13.379999999999999,-10.26,-2.809999999999995,-3.6200000000000045,15.629999999999995,10.67,-9.36,-7.379999999999999,3.349999999999998,1.8399999999999999,3.200000000000001,1.92,-6.919999999999998,2.249999999999993,6.46,4.81,71.43810991268619,74.35355928711239,-2.9154493744262027
52,5032,2908,1056,174,100,696,376,380,93,11,22,8,53, la Trinitat Nova,36.31,20.99,5.98,3.46,3.44,1.99,12.93,7.47,23.93,13.83,13.07,7.55,274,9.42,5.45,1330,45.730000000000004,26.439999999999998,1452,49.93,28.85,-16.65,-10.18,-4.130000000000003,-3.549999999999997,21.150000000000002,11.899999999999999,-8.690000000000001,-5.490000000000001,2.370000000000001,0.9100000000000001,2.1899999999999995,1.0300000000000002,-9.83,4.5000000000000036,6.82,4.09,57.790143084260734,59.936783879889376,-2.1466407956286417
53,1830,1004,333,46,15,262,147,163,28,6,4,8,54, Torre Baró,33.17,18.2,4.58,2.51,1.49,0.82,14.64,8.03,26.1,14.32,16.24,8.91,61,6.07,3.3299999999999996,394,39.24,21.529999999999998,572,56.980000000000004,31.259999999999998,-12.349999999999998,-7.43,-5.61999999999999,-5.32,17.85,9.25,-10.739999999999998,-6.800000000000001,2.0400000000000027,0.2599999999999998,3.0799999999999983,1.2199999999999998,-6.709999999999999,5.5000000000000036,5.64,3.29,54.86338797814208,58.429434376716095,-3.5660463985740165
54,6022,3797,1126,145,71,1149,562,578,109,27,30,8,55, Ciutat Meridiana,29.65,18.7,3.82,2.41,1.87,1.18,14.8,9.33,30.26,19.08,15.22,9.6,216,5.6899999999999995,3.59,1342,35.339999999999996,22.29,2289,60.28,38.01,-9.64,-6.15,-4.8799999999999955,-3.3800000000000026,14.939999999999998,9.36,-10.899999999999999,-6.99,4.75,2.8699999999999974,1.2700000000000014,0.7400000000000002,-5.24,5.299999999999997,4.4,2.79,63.052142145466625,63.5191003803539,-0.4669582348872723
55,920,539,219,35,8,122,64,64,23,2,2,8,56, Vallbona,40.63,23.8,6.49,3.8,1.48,0.87,11.87,6.96,22.63,13.26,11.87,6.96,43,7.970000000000001,4.67,262,48.6,28.47,250,46.37,27.18,-15.76,-9.64,-9.240000000000002,-6.369999999999997,25.230000000000004,14.510000000000002,-10.770000000000001,-6.7,3.25,1.5700000000000003,-1.7200000000000006,-1.2399999999999993,-9.24,9.47,6.52,3.93,58.58695652173913,60.32786885245902,-1.7409123307198868
56,5890,3746,1163,201,118,1023,587,481,128,29,16,9,57, la Trinitat Vella,31.05,19.75,5.37,3.41,3.15,2.0,15.67,9.97,27.31,17.37,12.84,8.17,319,8.52,5.41,1482,39.57,25.16,2091,55.81999999999999,35.510000000000005,-12.650000000000002,-8.52,-6.38000000000001,-5.409999999999997,18.18,11.28,-10.950000000000001,-7.540000000000001,3.009999999999998,1.3800000000000008,1.5600000000000005,0.75,-8.32,5.529999999999999,4.33,2.85,63.59932088285229,65.77476714648603,-2.175446263633738
57,1765,1040,432,87,11,225,119,123,28,7,8,9,58, Baró de Viver,41.54,24.48,8.37,4.93,1.06,0.62,11.44,6.74,21.63,12.75,11.83,6.97,98,9.43,5.55,530,50.97,30.03,467,44.9,26.46,-17.94,-11.279999999999998,-9.100000000000001,-6.740000000000002,27.439999999999998,15.81,-11.139999999999999,-7.140000000000001,0.6199999999999974,-0.16999999999999993,1.42,0.5699999999999994,-12.41,9.499999999999998,5.53,3.4,58.92351274787536,61.47308781869688,-2.5495750708215255
58,8722,5845,2133,536,282,1201,790,667,179,30,27,9,59, el Bon Pastor,36.49,24.46,9.17,6.15,4.82,3.23,13.52,9.06,20.55,13.77,11.41,7.65,818,13.99,9.38,2951,50.480000000000004,33.84,2658,45.480000000000004,30.48,-17.839999999999996,-13.249999999999998,-2.769999999999996,-3.8199999999999967,20.430000000000003,13.040000000000001,-7.490000000000002,-5.879999999999999,3.539999999999999,1.6799999999999997,1.1799999999999997,0.3800000000000008,-10.139999999999999,2.590000000000007,7.7,5.47,67.01444622792937,71.10296644141565,-4.088520213486277
59,44464,33965,10128,5798,3793,4957,4368,3553,1055,176,137,9,60, Sant Andreu,29.82,22.78,17.07,13.04,11.17,8.53,12.86,9.82,14.59,11.15,10.46,7.99,9591,28.240000000000002,21.57,19719,58.06,44.35,12878,37.91,28.96,-18.379999999999995,-16.240000000000002,0.20999999999999375,-1.639999999999997,18.17,13.330000000000002,-4.609999999999999,-4.359999999999999,2.379999999999999,1.2400000000000002,2.4400000000000013,1.4800000000000004,-7.019999999999996,-0.20999999999999552,11.36,9.21,76.387639438647,81.12613321935528,-4.738493780708282
60,21988,16630,4885,2414,1514,2624,2256,2204,564,90,79,9,61, la Sagrera,29.37,22.22,14.52,10.98,9.1,6.89,13.57,10.26,15.78,11.93,13.25,10.02,3928,23.619999999999997,17.87,8813,52.989999999999995,40.09,7084,42.6,32.21,-19.4,-15.779999999999998,0.38000000000000256,-0.8099999999999952,18.64,13.829999999999998,-5.57,-4.710000000000001,2.42,1.4800000000000004,3.5299999999999994,2.42,-9.130000000000003,-0.7600000000000016,10.27,8.03,75.6321629979989,78.2036091870215,-2.571446189022595
61,10461,7616,2315,1340,995,1042,832,757,262,45,28,9,62, el Congrés i els Indians,30.4,22.13,17.59,12.81,13.06,9.51,10.92,7.95,13.68,9.96,9.94,7.24,2335,30.65,22.32,4650,61.05,44.45,2631,34.54,25.150000000000002,-20.720000000000006,-17.690000000000005,0.46999999999999886,-1.389999999999997,20.339999999999996,14.29,-4.380000000000001,-3.9699999999999998,2.34,1.1300000000000008,2.51,1.4500000000000002,-8.550000000000004,-0.3800000000000079,12.17,9.48,72.80374725169678,77.89765132709566,-5.093904075398882
62,16457,12324,3368,2004,1765,1620,1557,1407,467,74,62,9,63, Navas,27.33,20.47,16.26,12.18,14.32,10.72,12.63,9.46,13.15,9.84,11.42,8.55,3769,30.580000000000002,22.9,7137,57.91,43.37,4584,37.2,27.85,-18.040000000000003,-15.899999999999999,0.13000000000000256,-1.7299999999999969,17.549999999999997,12.669999999999998,-3.9000000000000004,-3.7299999999999986,1.450000000000001,0.5099999999999998,2.58,1.490000000000001,-8.489999999999998,-0.4900000000000073,9.55,7.62,74.88606671932916,79.79945305378304,-4.913386334453875
63,28145,20508,5593,4037,3158,2584,2153,1988,742,146,107,10,64, el Camp de l'Arpa del Clot,27.27,19.87,19.69,14.34,15.4,11.22,10.5,7.65,12.6,9.18,9.69,7.06,7195,35.09,25.560000000000002,12788,62.36,45.43000000000001,6725,32.79,23.89,-19.71,-17.17,0.9699999999999989,-0.9200000000000017,17.939999999999998,12.600000000000001,-3.4700000000000006,-3.24,1.8399999999999999,0.7899999999999991,2.5999999999999996,1.5299999999999994,-8.219999999999999,-1.770000000000005,11.49,8.96,72.86551785397052,77.9765708200213,-5.111052966050778
64,19777,14730,4370,2553,1657,2035,1899,1540,506,109,61,10,65, el Clot,29.67,22.1,17.33,12.91,11.25,8.38,12.89,9.6,13.82,10.29,10.45,7.79,4210,28.58,21.29,8580,58.25,43.39,5474,37.16,27.68,-18.770000000000003,-16.190000000000005,-0.3500000000000014,-2.0,19.050000000000004,13.700000000000001,-4.609999999999999,-4.25,1.6500000000000004,0.6599999999999984,2.6099999999999994,1.5899999999999999,-7.920000000000002,0.27999999999999936,10.85,8.59,74.48045709662739,79.1350531107739,-4.654596014146506
65,10108,7462,2263,1278,875,941,892,872,267,45,29,10,66, el Parc i la Llacuna del Poblenou,30.33,22.39,17.13,12.64,11.73,8.66,11.95,8.82,12.61,9.31,11.69,8.63,2153,28.86,21.3,4416,59.19,43.69,2705,36.25,26.760000000000005,-18.880000000000003,-16.039999999999996,-0.4199999999999946,-1.9099999999999966,18.779999999999998,13.350000000000001,-4.52,-4.0600000000000005,0.8499999999999996,0.120000000000001,3.25,2.030000000000001,-6.810000000000002,-0.10000000000000497,12.07,9.44,73.82271468144044,78.21057834898664,-4.387863667546199
66,6192,5022,1348,923,862,496,768,401,163,42,19,10,67, la Vila Olímpica del Poblenou,26.84,21.77,18.38,14.91,17.16,13.92,15.29,12.4,9.88,8.01,7.98,6.48,1785,35.54,28.83,3133,62.379999999999995,50.599999999999994,1665,33.15,26.89,-18.060000000000002,-16.85,-0.19999999999999574,-1.5199999999999996,17.71,13.989999999999998,-1.8200000000000003,-2.1799999999999997,-0.6399999999999988,-0.9500000000000011,2.2600000000000007,1.6100000000000003,-6.990000000000002,-0.35000000000000675,11.07,9.43,81.1046511627907,85.2224748294901,-4.117823666699394
67,22672,16525,5374,3473,2288,1868,1724,1105,517,100,76,10,68, el Poblenou,32.52,23.7,21.02,15.32,13.85,10.09,10.43,7.6,11.3,8.24,6.69,4.87,5761,34.87,25.41,11135,67.39,49.11,4697,28.42,20.71,-21.93,-19.06,0.6600000000000001,-1.0199999999999996,21.010000000000005,14.69,-2.700000000000001,-2.6799999999999997,1.5700000000000003,0.6200000000000001,1.79,1.04,-8.29,-0.9199999999999964,13.64,10.68,72.88726182074807,78.2913597671239,-5.404097946375828
68,8622,6516,2093,946,712,823,1012,635,229,36,30,10,69, Diagonal Mar i el Front Marítim del Poblenou,32.12,24.28,14.52,10.97,10.93,8.26,15.53,11.74,12.63,9.55,9.75,7.36,1658,25.45,19.23,3751,57.56999999999999,43.510000000000005,2470,37.910000000000004,28.650000000000002,-19.750000000000004,-17.580000000000002,-0.19999999999999574,-2.3699999999999974,19.209999999999997,13.770000000000001,-3.660000000000002,-3.879999999999999,0.7000000000000011,-0.16000000000000014,2.76,1.67,-9.84,-0.5400000000000098,9.91,8.07,75.5741127348643,81.42641421767918,-5.85230148281488
69,14540,9445,3081,710,394,2238,1307,1280,326,55,54,10,70, el Besòs i el Maresme,32.62,21.19,7.52,4.88,4.17,2.71,13.84,8.99,23.7,15.39,13.55,8.8,1104,11.69,7.59,4185,44.309999999999995,28.78,4825,51.09,33.18,-15.270000000000001,-10.530000000000001,-3.5900000000000034,-3.5899999999999963,18.619999999999997,11.770000000000001,-8.05,-5.73,3.1899999999999977,1.6000000000000014,1.2700000000000014,0.5400000000000009,-8.97,3.3499999999999943,6.3,4.23,64.95873452544704,67.23629126346853,-2.277556738021488
70,14853,10907,3539,1553,939,1780,1525,1084,373,64,50,10,71, Provençals del Poblenou,32.45,23.83,14.24,10.46,8.61,6.32,13.98,10.27,16.32,11.98,9.94,7.3,2492,22.85,16.78,6031,55.300000000000004,40.61,4389,40.24,29.55,-19.090000000000003,-15.89,-0.8999999999999986,-2.4899999999999984,19.830000000000005,13.999999999999998,-5.259999999999998,-4.710000000000001,2.4800000000000004,1.200000000000001,1.879999999999999,1.0199999999999996,-9.420000000000002,0.7400000000000002,9.67,7.54,73.43297650306336,77.8872099298435,-4.454233426780135
71,19897,14825,4471,1771,1170,2546,1969,2258,493,77,70,10,72, Sant Martí de Provençals,30.16,22.47,11.95,8.9,7.89,5.88,13.28,9.9,17.17,12.8,15.23,11.35,2941,19.84,14.780000000000001,7412,50.0,37.25,6773,45.68,34.05,-16.720000000000002,-13.729999999999997,-1.3200000000000003,-2.5800000000000054,17.83,12.86,-7.110000000000001,-5.99,2.110000000000001,1.0600000000000005,3.6799999999999997,2.3499999999999996,-8.89,1.1099999999999977,7.83,6.11,74.50871990752374,77.95453404927987,-3.4458141417561308
72,22155,16183,4781,1264,740,3406,2494,2791,558,73,76,10,73, la Verneda i la Pau,29.54,21.58,7.81,5.71,4.57,3.34,15.41,11.26,21.05,15.37,17.25,12.6,2004,12.379999999999999,9.05,6785,41.92,30.63,8691,53.709999999999994,39.23,-14.18,-11.04,-3.0400000000000063,-3.700000000000003,16.92,12.029999999999998,-8.93,-7.15,2.629999999999999,1.4399999999999995,3.26,2.01,-8.46,2.7400000000000038,5.72,4.33,73.04445948995712,75.63587079286198,-2.5914113029048593
